day,EMW-07_Fluor,EMW-07_RWT,EMW-11_Fluor,EMW-11_RWT,EMW-12_Fluor,EMW-12_RWT,EMW-13_Fluor,EMW-13_RWT,EMW-14_Fluor,EMW-14_RWT,EMW-18_Fluor,EMW-018_RWT,EMW-19_Fluor,EMW-19_RWT,EMW-20_Fluor,EMW-20_RWT,EMW-21_Fluor,EMW-21_RWT,RW-01_Fluor,RW-01_RWT,RW-02_Fluor,RW-02_RWT,RW-03_Fluor,RW-03_RWT,RW-04_Fluor,RW-04_RWT,RW-05_Fluor,RW-05_RWT,RW-06_Fluor,RW-06_RWT,RW-07_Fluor,RW-07_RWT,RW-08_Fluor,RW-08_RWT,RW-10_Fluor,RW-10_RWT,RW-12_Fluor,RW-12_RWT,RW-01_Fluor,RW-13_RWT,VE-02_Fluor,VE-02_RWT
Day 0,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND,*,*,*,*,*,*,*,*,ND,ND,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,ND,ND
Day 3,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,*,*,*,*,*,*,*,*,ND,ND,*,*,ND,ND,*,*,ND,ND,ND,ND,0.459,ND,*,*,*,*,*,*,ND,ND
Day 7,0.262,ND,ND,ND,ND,ND,*,*,*,*,*,*,*,*,*,*,*,*,*,*,ND,ND,*,*,ND,ND,*,*,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND
Day 10,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,*,*,*,*,*,*,*,*,ND,ND,*,*,ND,ND,*,*,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND
Day 14,ND,ND,ND,ND,ND,ND,*,*,*,*,ND,ND,ND,ND,*,*,0,4.71,*,*,ND,ND,*,*,ND,ND,*,*,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND
Day 21,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,*,*,*,*,*,*,*,*,ND,ND,*,*,ND,ND,*,*,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND
Day 28,ND,ND,ND,ND,ND,ND,*,*,*,*,ND,ND,ND,ND,*,*,ND,ND,*,*,ND,ND,*,*,ND,9.36,*,*,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND
Day 35,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,*,*,*,*,*,*,*,*,ND,ND,*,*,ND,8.80,*,*,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND
Day 42,ND,ND,ND,ND,ND,ND,ND,ND,*,*,ND,ND,ND,ND,*,*,ND,ND,*,*,ND,ND,*,*,ND,32.7,*,*,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,*,*,ND,ND
Day 49,2.17,ND,9.31,ND,ND,ND,ND,ND,*,*,*,*,*,*,ND,ND,*,*,*,*,ND,ND,*,*,ND,22.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,*,*,ND,ND
Day 56,1.35,ND,4.70,ND,ND,ND,ND,ND,*,*,0.336(5),2.48,0.39,ND,ND,ND,ND,ND,*,*,ND,ND,*,*,ND,30.5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.290(5),ND,*,*,ND,ND
Day 63,1.06,ND,1.06,ND,ND,ND,ND,ND,0.218(5),ND,*,*,*,*,ND,ND,*,*,ND,ND,ND,ND,*,*,ND,40.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.56,ND,ND,ND,ND,2.65
Day 70,0.274(5),ND,3.78,ND,ND,ND,ND,ND,ND,ND,0.314(5),0.945(5),ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,*,*,ND,35.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,26.1,ND,ND,ND,ND,ND
Day 77,0.242,ND,2.10,ND,ND,ND,ND,ND,ND,ND,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,ND,ND,*,*
Day 84,ND,ND,1.24,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,*,*,ND,ND,*,*,ND,89.7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.78,ND,ND,ND,ND,ND
Day 91,0.231,ND,1.19,ND,ND,ND,ND,ND,ND,ND,*,*,*,*,ND,ND,*,*,*,*,ND,ND,*,*,ND,34.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7.87,ND,ND,ND,ND,ND
Day 98,ND,23.8,0.97,ND,*,*,*,*,ND,ND,ND,ND,ND,ND,*,*,ND,ND,*,*,*,*,*,*,ND,14,*,*,*,*,*,*,*,*,*,*,3.33,ND,ND,ND,*,*
Day 105,ND,495,0.62,ND,ND,ND,ND,ND,*,*,ND,ND,*,*,ND,ND,*,*,*,*,*,*,*,*,ND,5.44,ND,ND,ND,ND,ND,ND,ND,81900,*,*,21.1,ND,ND,ND,*,*
Day 112,ND,8700,0.46,ND,*,*,*,*,ND,ND,ND,ND,ND,ND,*,*,ND,ND,*,*,*,*,*,*,ND,4.38,*,*,*,*,*,*,*,*,*,*,410,ND,ND,ND,*,*
Day 119,ND,"14,600",0.46,ND,ND,ND,*,*,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,*,*,ND,7.07,*,*,ND,1.91,*,*,ND,ND,ND,ND,ND,"113,000",*,*,1770,ND,ND,ND,ND,ND
Day126,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,*,*,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
