"county","state","population"
"Alameda","California","1,671,329"
"Alpine","California","1,129"
"Amador","California","39,752"
"Butte","California","219,186"
"Calaveras","California","45,905"
"Colusa","California","21,547"
"Contra Costa","California","1,153,526"
"Del Norte","California","27,812"
"El Dorado","California","192,843"
"Fresno","California","999,101"
"Glenn","California","28,393"
"Humboldt","California","135,558"
"Imperial","California","181,215"
"Inyo","California","18,039"
"Kern","California","900,202"
"Kings","California","152,940"
"Lake","California","64,386"
"Lassen","California","30,573"
"Los Angeles","California","10,039,107"
"Madera","California","157,327"
"Marin","California","258,826"
"Mariposa","California","17,203"
"Mendocino","California","86,749"
"Merced","California","277,680"
"Modoc","California","8,841"
"Mono","California","14,444"
"Monterey","California","434,061"
"Napa","California","137,744"
"Nevada","California","99,755"
"Orange","California","3,175,692"
"Placer","California","398,329"
"Plumas","California","18,807"
"Riverside","California","2,470,546"
"Sacramento","California","1,552,058"
"San Benito","California","62,808"
"San Bernardino","California","2,180,085"
"San Diego","California","3,338,330"
"San Francisco","California","881,549"
"San Joaquin","California","762,148"
"San Luis Obispo","California","283,111"
"San Mateo","California","766,573"
"Santa Barbara","California","446,499"
"Santa Clara","California","1,927,852"
"Santa Cruz","California","273,213"
"Shasta","California","180,080"
"Sierra","California","3,005"
"Siskiyou","California","43,539"
"Solano","California","447,643"
"Sonoma","California","494,336"
"Stanislaus","California","550,660"
"Sutter","California","96,971"
"Tehama","California","65,084"
"Trinity","California","12,285"
"Tulare","California","466,195"
"Tuolumne","California","54,478"
"Ventura","California","846,006"
"Yolo","California","220,500"
"Yuba","California","78,668"